PackageIdentifier,Account,strictness
Dapr.CLI,dapr-bot,should
DoltHub.Dolt,coffeegoddd,should
File-New-Project.EarTrumpet,riverar,must
Ferdium.Ferdium,Alpharag,should
junegunn.fzf,junegunn,should
Keboola.KeboolaCLI,KeboolaAsCodeBot,should
Lenovo.SystemUpdate,philjorgensen,should
Microsoft.Azd,azure-sdk,should
Microsoft.AzureCLI,Microsoft,should
Microsoft.DotNet,dotnet-winget-bot,should
Microsoft.Git,Microsoft,should
Microsoft.PowerToys,Microsoft,must
Microsoft.PowerShell,Microsoft,must
Microsoft.WindowsTerminal,Microsoft,must
Microsoft.VisualStudio,Microsoft,must
Microsoft.VisualStudioCode,Microsoft,must
Neovim.Neovim.Nightly,nvim-winget,should
OleksisFraga.PythonLauncher,oleksis,should
Pulumi.Pulum,pulumi-bot,should
stnkl.EverythingToolbar,stnkl,should
the-sz.Bear,the-sz,should
thebookisclosed.ViVeTool,thebookisclosed,must
TopalaSoftwareSolutions.SIW,gtopala,should
WerWolv.ImHex,WerWolv,should
Visual Studio,Microsoft,must
